IQ-TREE multicore version 1.6.12 for Linux 64-bit built Mar 23 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    marjan-VirtualBox (AVX2, 5 GB RAM)
Command: iqtree -s genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa
Seed:    900550 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Sun Jan 15 12:10:55 2023
Kernel:  AVX+FMA - 1 threads (3 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 3 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file genomics/trees/aligned_DNA_topoisomerase_ATP-hydrolyzing_subunit_A_Campylobacter.afa ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 6 sequences with 918 columns, 313 distinct patterns
128 parsimony-informative, 182 singleton sites, 608 constant sites
                             Gap/Ambiguity  Composition  p-value
   1  NC_002163.1_977                5.99%    passed    100.00%
   2  NC_009714.1_1143               4.68%    passed     99.97%
   3  Campylobacter_stinkeris_306    3.05%    passed    100.00%
   4  Campylobacter_noahi_763        2.72%    passed     99.99%
   5  NZ_CP012196.1_1629             0.44%    passed     99.20%
   6  Campyloabacter_freddy_1214     3.81%    passed    100.00%
****  TOTAL                          3.45%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 546 protein models (sample size: 918) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       5570.584     9   11159.169    11159.367    11202.569
  2  Dayhoff+I     5444.834     10  10909.667    10909.910    10957.889
  3  Dayhoff+G4    5436.190     10  10892.380    10892.622    10940.602
  4  Dayhoff+I+G4  5435.737     11  10893.474    10893.766    10946.518
  5  Dayhoff+R2    5436.852     11  10895.703    10895.995    10948.748
  6  Dayhoff+R3    5436.511     13  10899.023    10899.426    10961.711
 14  Dayhoff+F     5424.462     28  10904.923    10906.750    11039.945
 15  Dayhoff+F+I   5291.357     29  10640.714    10642.673    10780.557
 16  Dayhoff+F+G4  5276.756     29  10611.513    10613.472    10751.357
 17  Dayhoff+F+I+G4 5275.596     30  10611.192    10613.289    10755.858
 18  Dayhoff+F+R2  5277.180     30  10614.359    10616.456    10759.025
 19  Dayhoff+F+R3  5276.319     32  10616.638    10619.025    10770.949
 27  mtMAM         6236.410     9   12490.821    12491.019    12534.220
 28  mtMAM+I       5913.814     10  11847.628    11847.871    11895.850
 29  mtMAM+G4      5804.133     10  11628.266    11628.508    11676.487
 30  mtMAM+I+G4    5802.489     11  11626.977    11627.269    11680.021
 31  mtMAM+R2      5805.022     11  11632.044    11632.335    11685.088
 32  mtMAM+R3      5801.262     13  11628.524    11628.926    11691.212
 40  mtMAM+F       5742.642     28  11541.284    11543.111    11676.305
 41  mtMAM+F+I     5460.544     29  10979.088    10981.048    11118.932
 42  mtMAM+F+G4    5395.796     29  10849.592    10851.551    10989.436
 43  mtMAM+F+I+G4  5391.557     30  10843.115    10845.212    10987.781
 44  mtMAM+F+R2    5396.267     30  10852.534    10854.631    10997.200
