locus_tag	ftype	length_bp	gene	EC_number	COG	product
FFHCJIBM_00001	CDS	2280				hypothetical protein
FFHCJIBM_00002	CDS	714				hypothetical protein
FFHCJIBM_00003	CDS	1470	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
FFHCJIBM_00004	CDS	1125	rsxB_1			Electron transport complex subunit RsxB
FFHCJIBM_00005	tRNA	89				tRNA-Ser(cga)
FFHCJIBM_00006	CDS	1815	typA		COG1217	GTP-binding protein TypA/BipA
FFHCJIBM_00007	CDS	543	azoR	1.7.-.-		FMN-dependent NADH-azoreductase
FFHCJIBM_00008	CDS	1308				hypothetical protein
FFHCJIBM_00009	CDS	927	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
FFHCJIBM_00010	CDS	348				hypothetical protein
FFHCJIBM_00011	CDS	486	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
FFHCJIBM_00012	CDS	429				hypothetical protein
FFHCJIBM_00013	CDS	666				hypothetical protein
FFHCJIBM_00014	CDS	885				hypothetical protein
FFHCJIBM_00015	CDS	360				hypothetical protein
FFHCJIBM_00016	CDS	2502				hypothetical protein
FFHCJIBM_00017	CDS	183				hypothetical protein
FFHCJIBM_00018	CDS	2769				hypothetical protein
FFHCJIBM_00019	CDS	855				hypothetical protein
FFHCJIBM_00020	CDS	399				hypothetical protein
FFHCJIBM_00021	CDS	285	rpmA		COG0211	50S ribosomal protein L27
FFHCJIBM_00022	CDS	309				hypothetical protein
FFHCJIBM_00023	CDS	312	rplU		COG0261	50S ribosomal protein L21
FFHCJIBM_00024	CDS	1167				hypothetical protein
FFHCJIBM_00025	CDS	1398				hypothetical protein
FFHCJIBM_00026	CDS	1455		1.12.7.2		Iron hydrogenase 1
FFHCJIBM_00027	CDS	1866	ettA		COG0488	Energy-dependent translational throttle protein EttA
FFHCJIBM_00028	CDS	1308				hypothetical protein
FFHCJIBM_00029	CDS	411				hypothetical protein
FFHCJIBM_00030	CDS	1812	ftsH4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
FFHCJIBM_00031	CDS	1551	spoVB_1		COG2244	Stage V sporulation protein B
FFHCJIBM_00032	CDS	1176	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
FFHCJIBM_00033	CDS	1200	alr1	5.1.1.1	COG0787	Alanine racemase 1
FFHCJIBM_00034	CDS	1287	dap	3.4.11.19		D-aminopeptidase
FFHCJIBM_00035	CDS	798				hypothetical protein
FFHCJIBM_00036	CDS	1173				hypothetical protein
FFHCJIBM_00037	CDS	765	nirC_1		COG2116	Nitrite transporter NirC
FFHCJIBM_00038	CDS	1032	aes_1	3.1.1.-		Acetyl esterase
FFHCJIBM_00039	CDS	186				hypothetical protein
FFHCJIBM_00040	CDS	2436	der_1			GTPase Der
FFHCJIBM_00041	CDS	237				hypothetical protein
FFHCJIBM_00042	CDS	291				hypothetical protein
FFHCJIBM_00043	CDS	2094	ctpC	3.6.3.-	COG2217	Manganese-exporting P-type ATPase
FFHCJIBM_00044	CDS	474				hypothetical protein
FFHCJIBM_00045	CDS	171				hypothetical protein
FFHCJIBM_00046	CDS	285				hypothetical protein
FFHCJIBM_00047	CDS	219				hypothetical protein
FFHCJIBM_00048	CDS	759				hypothetical protein
FFHCJIBM_00049	CDS	1116				hypothetical protein
FFHCJIBM_00050	CDS	1515	comM		COG0606	Competence protein ComM
FFHCJIBM_00051	CDS	372				hypothetical protein
FFHCJIBM_00052	CDS	126				hypothetical protein
FFHCJIBM_00053	CDS	345			COG0537	putative HIT-like protein
FFHCJIBM_00054	CDS	1335	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
FFHCJIBM_00055	CDS	729	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
FFHCJIBM_00056	CDS	876	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
FFHCJIBM_00057	CDS	1260	dnaJ		COG0484	Chaperone protein DnaJ
FFHCJIBM_00058	CDS	1860	dnaK_1		COG0443	Chaperone protein DnaK
FFHCJIBM_00059	CDS	612	grpE		COG0576	Protein GrpE
FFHCJIBM_00060	CDS	1035	hrcA		COG1420	Heat-inducible transcription repressor HrcA
FFHCJIBM_00061	CDS	1155				hypothetical protein
FFHCJIBM_00062	CDS	783	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
FFHCJIBM_00063	CDS	855	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
FFHCJIBM_00064	CDS	1518	xylB_1	2.7.1.17	COG1070	Xylulose kinase
FFHCJIBM_00065	CDS	567				hypothetical protein
FFHCJIBM_00066	CDS	324				hypothetical protein
FFHCJIBM_00067	CDS	3639	polC_1	2.7.7.7		DNA polymerase III PolC-type
FFHCJIBM_00068	CDS	1527				hypothetical protein
FFHCJIBM_00069	CDS	1020				hypothetical protein
FFHCJIBM_00070	CDS	2112				hypothetical protein
FFHCJIBM_00071	CDS	525				hypothetical protein
FFHCJIBM_00072	CDS	1452	trkH_1		COG0168	Trk system potassium uptake protein TrkH
FFHCJIBM_00073	CDS	1287	apeB	3.4.11.-	COG1362	putative M18 family aminopeptidase 2
FFHCJIBM_00074	CDS	354				hypothetical protein
FFHCJIBM_00075	CDS	639	yigZ		COG1739	IMPACT family member YigZ
FFHCJIBM_00076	CDS	963	rhaR_1			HTH-type transcriptional activator RhaR
FFHCJIBM_00077	CDS	828				hypothetical protein
FFHCJIBM_00078	CDS	714	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
FFHCJIBM_00079	CDS	1554	sdhA_1	1.3.5.-	COG1053	8-methylmenaquinol:fumarate reductase flavoprotein subunit
FFHCJIBM_00080	CDS	540				hypothetical protein
FFHCJIBM_00081	CDS	513				hypothetical protein
FFHCJIBM_00082	CDS	1548	chuW	2.1.1.342	COG0635	Anaerobilin synthase
FFHCJIBM_00083	CDS	525				hypothetical protein
FFHCJIBM_00084	CDS	909				hypothetical protein
FFHCJIBM_00085	CDS	405				hypothetical protein
FFHCJIBM_00086	CDS	612				hypothetical protein
FFHCJIBM_00087	CDS	216				hypothetical protein
FFHCJIBM_00088	CDS	534				hypothetical protein
FFHCJIBM_00089	CDS	1971	btuB_1			Vitamin B12 transporter BtuB
FFHCJIBM_00090	CDS	957		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
FFHCJIBM_00091	CDS	165				hypothetical protein
FFHCJIBM_00092	CDS	1371	pheP		COG1113	Phenylalanine-specific permease
FFHCJIBM_00093	CDS	723				hypothetical protein
FFHCJIBM_00094	CDS	4827				hypothetical protein
FFHCJIBM_00095	CDS	984				hypothetical protein
FFHCJIBM_00096	CDS	180				hypothetical protein
FFHCJIBM_00097	CDS	5907				hypothetical protein
FFHCJIBM_00098	CDS	141				hypothetical protein
FFHCJIBM_00099	CDS	717	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
FFHCJIBM_00100	CDS	1005	larMN		COG0310	putative fused nickel transport protein LarMN
FFHCJIBM_00101	CDS	810				hypothetical protein
FFHCJIBM_00102	CDS	651	larO	3.6.3.-	COG1122	Nickel import ATP-binding protein LarO
FFHCJIBM_00103	CDS	183				hypothetical protein
FFHCJIBM_00104	CDS	1218				hypothetical protein
FFHCJIBM_00105	CDS	402				hypothetical protein
FFHCJIBM_00106	CDS	678				hypothetical protein
FFHCJIBM_00107	CDS	867				hypothetical protein
FFHCJIBM_00108	CDS	936				hypothetical protein
FFHCJIBM_00109	CDS	936				hypothetical protein
FFHCJIBM_00110	CDS	942	argF	2.1.3.3		Ornithine carbamoyltransferase
FFHCJIBM_00111	CDS	198	cspLA		COG1278	Cold shock-like protein CspLA
FFHCJIBM_00112	CDS	498	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
FFHCJIBM_00113	CDS	792	thyA1	2.1.1.45	COG0207	Thymidylate synthase 1
FFHCJIBM_00114	CDS	1821	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
FFHCJIBM_00115	CDS	1188	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
FFHCJIBM_00116	CDS	1191	lysN_2	2.6.1.39	COG1167	2-aminoadipate transaminase
FFHCJIBM_00117	CDS	930	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
FFHCJIBM_00118	CDS	882	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
FFHCJIBM_00119	CDS	945	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
FFHCJIBM_00120	CDS	348	rbfA			Ribosome-binding factor A
FFHCJIBM_00121	CDS	2421	lepA_1			Elongation factor 4
FFHCJIBM_00122	CDS	306				hypothetical protein
FFHCJIBM_00123	CDS	261				hypothetical protein
FFHCJIBM_00124	CDS	1152	nusA		COG0195	Transcription termination/antitermination protein NusA
FFHCJIBM_00125	CDS	462	rimP		COG0779	Ribosome maturation factor RimP
FFHCJIBM_00126	tRNA	85				tRNA-Leu(cag)
FFHCJIBM_00127	CDS	480	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
FFHCJIBM_00128	CDS	609	coaE	2.7.1.24		Dephospho-CoA kinase
FFHCJIBM_00129	CDS	1677	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
FFHCJIBM_00130	CDS	936		2.4.-.-		putative glycosyltransferase
FFHCJIBM_00131	CDS	954	queG	1.17.99.6		Epoxyqueuosine reductase
FFHCJIBM_00132	CDS	435				hypothetical protein
FFHCJIBM_00133	CDS	885	cysL_1		COG0583	HTH-type transcriptional regulator CysL
FFHCJIBM_00134	CDS	1014				hypothetical protein
FFHCJIBM_00135	CDS	951	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
FFHCJIBM_00136	CDS	1437	alsT_1		COG1115	Amino-acid carrier protein AlsT
FFHCJIBM_00137	CDS	1374				hypothetical protein
FFHCJIBM_00138	CDS	825	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
FFHCJIBM_00139	CDS	2577	polA	2.7.7.7		DNA polymerase I
FFHCJIBM_00140	CDS	336				hypothetical protein
FFHCJIBM_00141	CDS	474	smpB		COG0691	SsrA-binding protein
FFHCJIBM_00142	CDS	2343	rnr	3.1.13.1	COG0557	Ribonuclease R
FFHCJIBM_00143	CDS	237	secG		COG1314	putative protein-export membrane protein SecG
FFHCJIBM_00144	CDS	708	sigH		COG1595	RNA polymerase sigma-H factor
FFHCJIBM_00145	CDS	747		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
FFHCJIBM_00146	CDS	486	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
FFHCJIBM_00147	CDS	1446	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
FFHCJIBM_00148	CDS	1455	gltX_1	6.1.1.17		Glutamate--tRNA ligase
FFHCJIBM_00149	CDS	1161	ispDF		COG0245	Bifunctional enzyme IspD/IspF
FFHCJIBM_00150	CDS	1182				hypothetical protein
FFHCJIBM_00151	CDS	2877				hypothetical protein
FFHCJIBM_00152	CDS	399	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
FFHCJIBM_00153	CDS	1206	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
FFHCJIBM_00154	CDS	1263				hypothetical protein
FFHCJIBM_00155	CDS	330				hypothetical protein
FFHCJIBM_00156	CDS	1380	radA	3.6.4.-	COG1066	DNA repair protein RadA
FFHCJIBM_00157	CDS	2433	clpC			ATP-dependent Clp protease ATP-binding subunit ClpC
FFHCJIBM_00158	CDS	1065	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
FFHCJIBM_00159	CDS	516	mcsA		COG3880	Protein-arginine kinase activator protein
FFHCJIBM_00160	CDS	456				hypothetical protein
FFHCJIBM_00161	CDS	1740	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
FFHCJIBM_00162	CDS	1635	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
FFHCJIBM_00163	CDS	1002				hypothetical protein
FFHCJIBM_00164	CDS	1029	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
FFHCJIBM_00165	CDS	822				hypothetical protein
FFHCJIBM_00166	CDS	690	rnhA	3.1.26.4		Ribonuclease H
FFHCJIBM_00167	CDS	1035	ltaE	4.1.2.48		Low specificity L-threonine aldolase
FFHCJIBM_00168	CDS	798	rbn_1	3.1.26.11		Ribonuclease BN
FFHCJIBM_00169	CDS	1749	pyk_1	2.7.1.40	COG0469	Pyruvate kinase
FFHCJIBM_00170	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
FFHCJIBM_00171	CDS	1077	cdaR		COG3835	Carbohydrate diacid regulator
FFHCJIBM_00172	CDS	780	zupT		COG0428	Zinc transporter ZupT
FFHCJIBM_00173	CDS	1332	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
FFHCJIBM_00174	CDS	1152	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
FFHCJIBM_00175	CDS	771				hypothetical protein
FFHCJIBM_00176	CDS	1620				hypothetical protein
FFHCJIBM_00177	CDS	804				hypothetical protein
FFHCJIBM_00178	CDS	1119				hypothetical protein
FFHCJIBM_00179	CDS	1329				hypothetical protein
FFHCJIBM_00180	CDS	681				hypothetical protein
FFHCJIBM_00181	CDS	411	def	3.5.1.88	COG0242	Peptide deformylase
FFHCJIBM_00182	CDS	462				hypothetical protein
FFHCJIBM_00183	CDS	330	hxlR		COG1733	HTH-type transcriptional activator HxlR
FFHCJIBM_00184	CDS	1311	pepC	3.4.22.40	COG3579	Aminopeptidase C
FFHCJIBM_00185	CDS	1242	pepT	3.4.11.4	COG2195	Peptidase T
FFHCJIBM_00186	CDS	594				hypothetical protein
FFHCJIBM_00187	CDS	576				hypothetical protein
FFHCJIBM_00188	CDS	486	yfkJ_1	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
FFHCJIBM_00189	CDS	504				hypothetical protein
FFHCJIBM_00190	CDS	339				hypothetical protein
FFHCJIBM_00191	CDS	327				hypothetical protein
FFHCJIBM_00192	CDS	549				hypothetical protein
FFHCJIBM_00193	CDS	546				IS200/IS605 family transposase IS1341
FFHCJIBM_00194	CDS	561				IS200/IS605 family transposase ISHaha8
FFHCJIBM_00195	CDS	585				hypothetical protein
FFHCJIBM_00196	CDS	480	yfkJ_2	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
FFHCJIBM_00197	CDS	345	ytcD_1		COG1733	putative HTH-type transcriptional regulator YtcD
FFHCJIBM_00198	CDS	675				hypothetical protein
FFHCJIBM_00199	CDS	501				hypothetical protein
FFHCJIBM_00200	CDS	642				hypothetical protein
FFHCJIBM_00201	CDS	114				hypothetical protein
FFHCJIBM_00202	CDS	1257				IS200/IS605 family transposase ISAsp8
FFHCJIBM_00203	CDS	684				hypothetical protein
