locus_tag	ftype	length_bp	gene	EC_number	COG	product
NKFGLIEL_00001	rRNA	109				5S ribosomal RNA
NKFGLIEL_00002	rRNA	2907				23S ribosomal RNA
NKFGLIEL_00003	rRNA	1565				16S ribosomal RNA
NKFGLIEL_00004	CDS	1356	naiP			Putative niacin/nicotinamide transporter NaiP
NKFGLIEL_00005	CDS	516	niaR		COG1827	putative transcription repressor NiaR
NKFGLIEL_00006	CDS	522				hypothetical protein
NKFGLIEL_00007	CDS	1254	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
NKFGLIEL_00008	CDS	858	yofA		COG0583	HTH-type transcriptional regulator YofA
NKFGLIEL_00009	CDS	351	rplT		COG0292	50S ribosomal protein L20
NKFGLIEL_00010	CDS	198	rpmI		COG0291	50S ribosomal protein L35
NKFGLIEL_00011	CDS	465	infC			Translation initiation factor IF-3
NKFGLIEL_00012	CDS	513				Acid shock protein
NKFGLIEL_00013	CDS	231				hypothetical protein
NKFGLIEL_00014	CDS	1245				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
NKFGLIEL_00015	CDS	672				hypothetical protein
NKFGLIEL_00016	CDS	618				hypothetical protein
NKFGLIEL_00017	CDS	594	eamB		COG1280	Cysteine/O-acetylserine efflux protein
NKFGLIEL_00018	CDS	558	bioY		COG1268	Biotin transporter BioY
NKFGLIEL_00019	CDS	741				hypothetical protein
NKFGLIEL_00020	CDS	1002				hypothetical protein
NKFGLIEL_00021	CDS	903	gltR		COG0583	HTH-type transcriptional regulator GltR
NKFGLIEL_00022	CDS	477				hypothetical protein
NKFGLIEL_00023	CDS	537				hypothetical protein
NKFGLIEL_00024	CDS	762				hypothetical protein
NKFGLIEL_00025	CDS	480				hypothetical protein
NKFGLIEL_00026	CDS	546				hypothetical protein
NKFGLIEL_00027	CDS	390				hypothetical protein
NKFGLIEL_00028	CDS	453				hypothetical protein
NKFGLIEL_00029	CDS	486				hypothetical protein
NKFGLIEL_00030	CDS	378				hypothetical protein
NKFGLIEL_00031	CDS	1212	gspF		COG1459	Putative type II secretion system protein F
NKFGLIEL_00032	CDS	948	yggR		COG2805	putative protein YggR
NKFGLIEL_00033	CDS	1083	gspE		COG2804	Putative type II secretion system protein E
NKFGLIEL_00034	CDS	972	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NKFGLIEL_00035	CDS	1101	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
NKFGLIEL_00036	CDS	1632	appA			Oligopeptide-binding protein AppA
