Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Mohr_1_1_Ctrl Spectral Count	Mohr_1_2_Ctrl Spectral Count	Mohr_1_3_Ctrl Spectral Count	Mohr_2_1_CBN375 Spectral Count	Mohr_2_2_CBN375 Spectral Count	Mohr_2_3_CBN375 Spectral Count	Mohr_3_1_CBN550 Spectral Count	Mohr_3_2_CBN550 Spectral Count	Mohr_3_3_CBN550 Spectral Count	Mohr_4_1_CBN772 Spectral Count	Mohr_4_2_CBN772 Spectral Count	Mohr_4_3_CBN772 Spectral Count	Mohr_5_1_ASHRAE Spectral Count	Mohr_5_2_ASHRAE Spectral Count	Mohr_5_3_ASHRAE Spectral Count	Mohr_6_1_A2FINE Spectral Count	Mohr_6_2_A2FINE Spectral Count	Mohr_6_3_A2FINE Spectral Count	Mohr_1_1_Ctrl Intensity	Mohr_1_2_Ctrl Intensity	Mohr_1_3_Ctrl Intensity	Mohr_2_1_CBN375 Intensity	Mohr_2_2_CBN375 Intensity	Mohr_2_3_CBN375 Intensity	Mohr_3_1_CBN550 Intensity	Mohr_3_2_CBN550 Intensity	Mohr_3_3_CBN550 Intensity	Mohr_4_1_CBN772 Intensity	Mohr_4_2_CBN772 Intensity	Mohr_4_3_CBN772 Intensity	Mohr_5_1_ASHRAE Intensity	Mohr_5_2_ASHRAE Intensity	Mohr_5_3_ASHRAE Intensity	Mohr_6_1_A2FINE Intensity	Mohr_6_2_A2FINE Intensity	Mohr_6_3_A2FINE Intensity	Indistinguishable Proteins
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Shootin-1 	1.0000	0.9988	3	17	17	17	1	2	1	1	2	1	0	0	0	0	2	2	1	1	1	1	1	0	690113	798578	892277	257942	1360451	162621	     0	     0	     0	     0	1301562	954101	540479	529433	491068	506819	705669	     0		
sp|A6NKQ9|CGB1_HUMAN	A6NKQ9	CGB1_HUMAN	CGB1	187	Homo sapiens (Human) OX=9606	2:Experimental evidence at transcript level	Choriogonadotropin subunit beta variant 1 	1.0000	0.9990	3	33	0	33	5	1	3	2	2	2	1	1	1	3	2	1	3	2	1	1	1	1	1589433	483097	919868	1342308	1491996	802581	143578	482644	679694	1672432	1167068	145541	1893753	764985	190845	1130138	876420	1262131	sp|P0DN86|CGB3_HUMAN, sp|P0DN87|CGB7_HUMAN, sp|Q6NT52|CGB2_HUMAN	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein 	1.0000	0.9985	3	23	0	23	3	2	3	0	0	1	1	1	0	2	2	2	1	1	1	1	1	1	1320346	736740	1281259	     0	     0	389536	713251	617860	     0	1689806	807639	873343	783834	577725	585318	275772	347802	437586	sp|Q99613|EIF3C_HUMAN	
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens (Human) OX=9606	2:Experimental evidence at transcript level	Immunoglobulin lambda-like polypeptide 5 	1.0000	0.9990	4	46	15	46	4	1	1	5	3	3	0	0	0	4	5	4	6	4	3	1	1	1	2314622	709295	838022	2304303	2055265	1041270	     0	     0	     0	2294970	2474278	1375086	2729722	1539657	1491766	830861	609338	721331		
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1.0000	0.9990	5	77	56	77	4	7	5	7	6	4	2	2	2	5	6	6	7	6	5	1	1	1	8142827	4677582	3302307	4921808	10958572	2623357	1348224	1693660	2084141	5533075	4992784	5903734	6825771	5053362	4110129	815677	601625	771398		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1 	1.0000	0.9990	3	9	9	9	1	1	1	0	0	0	0	0	0	0	2	1	0	1	2	0	0	0	823629	458506	505665	     0	     0	     0	     0	     0	     0	     0	1667256	692093	     0	698351	909817	     0	     0	     0		
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Small acidic protein 	1.0000	0.9990	3	5	5	5	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	558484	     0	     0	     0	     0	     0	     0	     0		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1 	1.0000	0.9970	4	22	13	22	4	3	2	1	2	1	0	0	0	2	1	3	1	1	0	1	0	0	3578335	1902052	1814737	1346177	2091406	816257	     0	     0	     0	2838288	1742068	1754124	876274	2057233	     0	1020581	     0	     0		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1 	1.0000	0.9990	9	59	59	59	1	5	5	3	3	2	0	0	0	4	3	6	4	6	5	3	5	4	325740	680482	1216363	980141	1169094	353122	     0	     0	     0	1388562	1273640	1166338	1587971	1110228	1149809	728696	657203	1463787		
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	Homo sapiens (Human) OX=9606	1:Experimental evidence at protein level	Sulfhydryl oxidase 1 	1.0000	0.9990	20	157	157	157	9	8	9	15	14	13	3	3	3	10	13	11	14	15	12	2	2	1	2316794	1414158	1530566	4173195	3551444	2096234	4492627	2198821	2247369	4201114	3743901	2002671	5634080	2754595	4047702	1437501	1677730	1127077		
